2025-11-01 00:04:20 | INFO     | BasicBot | get_account_balance | Fetching account balance...
2025-11-01 00:04:20 | ERROR    | BasicBot | get_account_balance | Failed to get balance: APIError(code=-2015): Invalid API-key, IP, or permissions for action
2025-11-01 00:05:24 | INFO     | BasicBot | _setup_logging | ================================================================================
2025-11-01 00:05:24 | INFO     | BasicBot | _setup_logging | BasicBot initialized
2025-11-01 00:05:24 | INFO     | BasicBot | _setup_logging | Testnet mode: True
2025-11-01 00:05:24 | INFO     | BasicBot | _setup_logging | ================================================================================
2025-11-01 00:05:24 | INFO     | BasicBot | _setup_logging | ================================================================================
2025-11-01 00:05:24 | INFO     | BasicBot | _setup_logging | BasicBot initialized
2025-11-01 00:05:24 | INFO     | BasicBot | _setup_logging | Testnet mode: True
2025-11-01 00:05:24 | INFO     | BasicBot | _setup_logging | ================================================================================
2025-11-01 00:05:24 | INFO     | BasicBot | __init__ | Using Binance Futures TESTNET: https://testnet.binancefuture.com
2025-11-01 00:05:25 | INFO     | BasicBot | __init__ | Using Binance Futures TESTNET: https://testnet.binancefuture.com
